"Story","Title","Result","Date","Stability","Duration (s)"
"CAP_F_003 - Iniciar Sesion en Pagina del Visitante","Iniciar Sesion en Pagina del Visitante","SUCCESS","2022-01-06T16:15:26.966-05:00[America/Lima]","0.0","16.56"
"CAP_F_005 - Acceso a la ficha de un Espacio Natural","Acceso a la ficha de un Espacio Natural","SUCCESS","2022-01-06T16:15:43.562-05:00[America/Lima]","0.0","37.32"
"CAP_F_007 - Compartir la ficha de un Espacio Natural","Compartir la ficha de un Espacio Natural","SUCCESS","2022-01-07T16:45:22.943-05:00[America/Lima]","0.0","93.03"
"CAP_F_008 - Agregar a Pasaporte Ecoturista","Compartir la ficha de un Espacio Natural","SUCCESS","2022-01-07T17:40:49.463-05:00[America/Lima]","0.0","70.13"
"CAP_F_009 - Agregar a Favoritos","Compartir la ficha de un Espacio Natural","SUCCESS","2022-01-08T15:30:13.254-05:00[America/Lima]","0.0","44.88"
"CAP_F_013 - Navegar a Datos De Interes","Compartir la ficha de un Espacio Natural","SUCCESS","2022-01-09T13:38:57.379-05:00[America/Lima]","0.0","46.95"
"CAP_F_021 - Navegar a Mapa","Compartir la ficha de un Espacio Natural","SUCCESS","2022-01-08T14:41:06.894-05:00[America/Lima]","0.0","38.7"
"CAP_F_024 - Navegar a Publicaciones","Compartir la ficha de un Espacio Natural","SUCCESS","2022-01-08T14:57:57.299-05:00[America/Lima]","0.0","36.95"
"CAP_F_028 - Navegar a apartado ""No te vayas sin""","Compartir la ficha de un Espacio Natural","SUCCESS","2022-01-08T15:16:36.617-05:00[America/Lima]","0.0","34.06"
"CAP_F_029 - Navegar a apartado ""Descargas""","Compartir la ficha de un Espacio Natural","SUCCESS","2022-01-08T16:18:15.093-05:00[America/Lima]","0.0","35.36"
